loglnah3nx5d, 0, 0, 2419422817869543.50000000000000000, 2419422817869543.50000000000000000, 1, 0, 0%, ["acroeos12345","atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eosnodeonebp","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eostitanprod","eosvolgabpru","jedaaaaaaaaa","qxeosqxeosbp","starteosiobp","syndicateoss","teamgreymass","tokenika4eos","unlimitedeos","zbeosbp11111"]
tpatksgyanjo, 0, 0, 2343215466101892.50000000000000000, 2343215466101892.50000000000000000, 1, 0, 0%, ["alohaeosprod","atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eoscleanerbp","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eosnodeonebp","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eostitanprod","eosvolgabpru","jedaaaaaaaaa","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
heyeosman123, 0, 0, 2119357074532868.00000000000000000, 2119357074532868.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","cochainworld","eosantpoolbp","eosbeijingbp","eosbixinboot","eoscannonchn","eoscybexiobp","eosfishrocks","eosflytomars","eoshenzhenio","eoshuobipool","eoslambdacom","eoslaomaocom","eosmotioneos","eosplayworld","eosunion1111","hexlantttttt","jedaaaaaaaaa","jrrcryptoeos","moreisfuture","qxeosqxeosbp","starteosiobp","zbeosbp11111"]
me2lr2wubwzd, 0, 0, 2161764146358397.00000000000000000, 2161764146358397.00000000000000000, 1, 0, 0%, ["atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eosnodeonebp","eospaceioeos","eosphereiobp","eosplayworld","eostitanprod","eosvolgabpru","jedaaaaaaaaa","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
fivvybx5o4eh, 0, 0, 2112757973617639.00000000000000000, 2112757973617639.00000000000000000, 1, 0, 0%, ["atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eosnodeonebp","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eostitanprod","eosvolgabpru","helloeoscnbp","jedaaaaaaaaa","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
5lwhr2hargj5, 0, 0, 2066757329261262.75000000000000000, 2066757329261262.75000000000000000, 1, 0, 0%, ["atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eosnodeonebp","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eostitanprod","eosvolgabpru","helloeoscnbp","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
iamnotawhale, 0, 447000, 5486662072278848.00000000000000000, 5486451420498619.00000000000000000, 1, 210651780228.53076171875000000, 199.98464321730629%, ["atticlabeosb","eosantpoolbp","eoscannonchn","eoseouldotio","eoshuobipool","eosiomeetone","eoslaomaocom","eospaceioeos","eosstorebest","eosswedenorg","jedaaaaaaaaa","oraclegogogo","zbeosbp11111"]
meetoneproxy, 0, 0, 2717113273340818.00000000000000000, 2717113273340818.00000000000000000, 1, 0, 0%, ["argentinaeos","atticlabeosb","cochainworld","eos42freedom","eoscanadacom","eoscannonchn","eosflytomars","eosgenblockp","eosiomeetone","eosiosg11111","eosnationftw","eosnewyorkio","eospaceioeos","eosplayworld","eosstorebest","eosvolgabpru","eosyskoreabp","geosoneforbp","keoskorea111","sheleaders21","syndicateoss","tokenika4eos"]
tokenika4dev, 0, 0, 2314938852844273.50000000000000000, 2314938852844273.50000000000000000, 1, 0, 0%, ["acroeos12345","argentinaeos","atticlabeosb","auroraeoscom","bitfinexeos1","cryptolions1","cypherglasss","eosauthority","eoscafeblock","eoscanadacom","eoscannonchn","eosdacserver","eosdublinwow","eoseouldotio","eosfishrocks","eoshuobipool","eosiomeetone","eosmesodotio","eosnewyorkio","eosnodeonebp","eosriobrazil","eosswedenorg","eostitanprod","eostribeprod","eosvenezuela","eosvibesbloc","eosyskoreabp","oraclegogogo","starteosiobp","tokenika4eos"]
cannonproxy1, 0, 20000, 15995812671387878.00000000000000000, 15995803246252298.00000000000000000, 1, 9425135580.69488906860351563, 199.99976431006738%, ["atticlabeosb","eos42freedom","eosbeijingbp","eosbixinboot","eoscannonchn","eoseouldotio","eosfishrocks","eosflareiobp","eosflytomars","eosiomeetone","eosiosg11111","eosisgravity","eoslaomaocom","eosmesodotio","eosphereiobp","eosstorebest","eosyskoreabp","oraclegogogo"]
